ingredient_rowid,recipe_id,reviewed_quantity,reviewed_unit,reviewed_servings,expert_note
3510,378,200,gram,3,
9291,991,200,gram,1,
9771,1038,200,gram,1,
11778,1255,9,adet,4,
13825,1474,200,gram,2,
13901,1483,200,gram,1,
15396,1630,200,gram,1,
16274,1725,200,gram,2,
22526,2382,200,gram,4,
23477,2481,200,gram,4,
23885,2529,200,gram,2,
24055,2546,200,gram,2,
24647,2612,200,gram,2,
29658,3134,200,gram,2,
31873,3373,200,gram,2,
32146,3406,200,gram,2,
32983,3494,200,gram,2,
33939,3598,200,gram,2,
35192,3730,5,adet,4,
35316,3742,200,gram,4,
36693,3887,6,adet,4,
38084,4043,5,adet,1,
42814,4541,5,adet,2,
43096,4571,200,gram,2,
43279,4589,200,gram,2,
46756,4955,5,adet,2,
47855,5075,200,gram,3,
48456,5144,200,gram,3,
48545,5155,9,adet,4,
50085,5317,200,gram,3,
52474,5578,200,gram,4,
54509,5804,9,adet,4,
60835,6468,200,gram,2,
61651,6558,5,adet,2,
61847,6580,200,gram,3,
62568,6652,250,gram,4,
62573,6652,6,adet,4,
66632,7093,200,gram,2,
67957,7242,200,gram,2,
68380,7287,5,adet,4,
70920,7561,200,gram,4,
71063,7575,200,gram,2,
71520,7623,200,gram,2,
72356,7717,250,gram,4,
74346,7939,200,gram,,
74459,7949,200,gram,2,
77954,8343,200,gram,2,
78442,8394,200,gram,2,
83788,8974,7,adet,4,
86676,9288,7,adet,4,
86941,9318,5,adet,3,
87186,9342,200,gram,,
90893,9748,200,gram,,
90908,9749,200,gram,2,
99059,10623,200,gram,,
101167,10848,11,adet,6,
105859,11354,5,adet,3,
105919,11361,200,gram,2,
106148,11385,200,gram,,
106150,11385,9,adet,5,
106472,11421,200,gram,2,
109985,11794,200,gram,2,
111777,11981,200,gram,2,
111822,11985,200,gram,,
111971,12003,200,gram,,
112367,12042,200,gram,2,
113954,12205,200,gram,2,
114231,12235,200,gram,2,
116991,12535,200,gram,2,
118751,12721,200,gram,2,
119700,12814,200,gram,,
123805,13241,200,gram,,
124659,13335,200,gram,,
124966,13369,200,gram,2,
127702,13654,400,gram,4,
132330,14154,200,gram,2,
133818,14309,200,gram,,
134143,14347,200,gram,2,
134776,14411,200,gram,,
138383,14790,4,adet,2,
140009,14956,200,gram,2,
144311,15409,5,adet,3,
144657,15448,200,gram,,
146160,15610,200,gram,2,
147931,15800,200,gram,2,
151139,16155,200,gram,2,
151203,16162,200,gram,,
152286,16276,200,gram,2,
152519,16303,200,gram,2,
153824,16448,200,gram,2,
154955,16571,200,gram,,
156264,16717,200,gram,2,
160201,17140,7,adet,4,
160463,17164,200,gram,,
160572,17177,200,gram,,
161714,17299,200,gram,2,
170201,18208,200,gram,2,
170272,18214,200,gram,2,
171318,18331,2,yemek kaşığı,4,
172718,18483,200,gram,2,
177458,18997,11,adet,2,
178874,19150,200,gram,2,
179204,19187,200,gram,,
179534,19223,200,gram,2,
182208,19513,7,adet,4,
182343,19529,200,gram,2,
183494,19655,200,gram,,
183599,19665,9,adet,5,
186008,19926,13,adet,7,
189690,20309,7,adet,4,
190818,20428,250,gram,7,
193987,20771,13,adet,7,
195069,20892,200,gram,2,
196122,20996,200,gram,2,
199726,21378,7,adet,4,
199750,21381,200,gram,2,
201537,21569,5,adet,2,
202768,21699,200,gram,2,
203697,21802,200,gram,2,
203702,21802,200,gram,2,
203703,21802,200,gram,2,
32970,3494,200,gram,2,
16275,1725,200,gram,2,
16276,1725,200,gram,2,
23875,2529,200,gram,2,
23880,2529,200,gram,2,
23882,2529,200,gram,2,
23883,2529,200,gram,2,
23884,2529,200,gram,2,
23886,2529,200,gram,2,
24056,2546,200,gram,2,
24057,2546,200,gram,2,
24058,2546,200,gram,2,
24059,2546,200,gram,2,
24643,2612,200,gram,2,
24645,2612,200,gram,2,
24646,2612,200,gram,2,
24648,2612,200,gram,2,
43278,4589,200,gram,2,
43280,4589,200,gram,2,
52094,5537,250,gram,5,
52103,5537,250,gram,5,
60836,6468,200,gram,2,
60837,6468,200,gram,2,
60838,6468,200,gram,2,
66633,7093,200,gram,2,
66634,7093,200,gram,2,
66635,7093,200,gram,2,
67955,7242,200,gram,2,
67956,7242,200,gram,2,
67960,7242,200,gram,2,
67961,7242,200,gram,2,
71519,7623,200,gram,2,
71521,7623,200,gram,2,
71522,7623,200,gram,2,
71523,7623,200,gram,2,
71524,7623,200,gram,2,
90245,9681,200,gram,74,
74453,7949,200,gram,2,
74454,7949,200,gram,2,
74455,7949,200,gram,2,
74456,7949,200,gram,2,
74457,7949,200,gram,2,
74458,7949,200,gram,2,
77951,8343,200,gram,2,
77953,8343,200,gram,2,
77956,8343,200,gram,2,
77957,8343,200,gram,2,
78436,8394,200,gram,2,
89524,9601,200,gram,2,
90085,9663,200,gram,2,
90903,9749,200,gram,2,
90906,9749,200,gram,2,
90907,9749,200,gram,2,
90909,9749,200,gram,2,
90911,9749,200,gram,2,
94547,10134,200,gram,2,
94548,10134,200,gram,2,
94549,10134,200,gram,2,
94550,10134,200,gram,2,
94551,10134,200,gram,2,
105913,11361,200,gram,2,
105914,11361,200,gram,2,
105916,11361,200,gram,2,
105917,11361,200,gram,2,
105918,11361,200,gram,2,
105920,11361,200,gram,2,
106474,11421,200,gram,2,
106475,11421,200,gram,2,
106476,11421,200,gram,2,
106477,11421,200,gram,2,
109981,11794,200,gram,2,
109987,11794,200,gram,2,
111172,11917,200,gram,2,
111173,11917,200,gram,2,
111778,11981,200,gram,2,
111780,11981,200,gram,2,
111781,11981,200,gram,2,
111782,11981,200,gram,2,
111783,11981,200,gram,2,
112358,12042,200,gram,2,
112365,12042,200,gram,2,
112366,12042,200,gram,2,
113957,12205,200,gram,2,
113959,12205,200,gram,2,
113960,12205,200,gram,2,
113961,12205,200,gram,2,
114232,12235,200,gram,2,
116987,12535,200,gram,2,
116990,12535,200,gram,2,
118750,12721,200,gram,2,
118752,12721,200,gram,2,
118756,12721,200,gram,2,
118757,12721,200,gram,2,
118758,12721,200,gram,2,
124962,13369,200,gram,2,
124967,13369,200,gram,2,
132333,14154,200,gram,2,
132334,14154,200,gram,2,
132335,14154,200,gram,2,
134141,14347,200,gram,2,
134144,14347,200,gram,2,
134146,14347,200,gram,2,
140011,14956,200,gram,2,
146158,15610,200,gram,2,
146162,15610,200,gram,2,
147922,15800,200,gram,2,
147933,15800,200,gram,2,
147934,15800,200,gram,2,
147935,15800,200,gram,2,
151140,16155,200,gram,2,
151141,16155,200,gram,2,
151144,16155,200,gram,2,
152278,16276,200,gram,2,
152282,16276,200,gram,2,
152283,16276,200,gram,2,
152284,16276,200,gram,2,
152287,16276,200,gram,2,
152288,16276,200,gram,2,
152520,16303,200,gram,2,
153815,16448,200,gram,2,
153827,16448,200,gram,2,
153828,16448,200,gram,2,
153833,16448,200,gram,2,
156265,16717,200,gram,2,
156267,16717,200,gram,2,
156268,16717,200,gram,2,
161708,17299,200,gram,2,
161717,17299,200,gram,2,
161718,17299,200,gram,2,
167567,17925,200,gram,2,
167568,17925,200,gram,2,
167569,17925,200,gram,2,
167570,17925,200,gram,2,
167571,17925,200,gram,2,
170200,18208,200,gram,2,
170202,18208,200,gram,2,
170204,18208,200,gram,2,
170205,18208,200,gram,2,
170206,18208,200,gram,2,
170267,18214,200,gram,2,
170275,18214,200,gram,2,
172717,18483,200,gram,2,
178877,19150,200,gram,2,
178878,19150,200,gram,2,
178879,19150,200,gram,2,
178884,19150,200,gram,2,
179529,19223,200,gram,2,
179536,19223,200,gram,2,
182342,19529,200,gram,2,
182344,19529,200,gram,2,
182345,19529,200,gram,2,
191533,20497,200,gram,2,
195070,20892,200,gram,2,
196119,20996,200,gram,2,
196121,20996,200,gram,2,
199749,21381,200,gram,2,
199752,21381,200,gram,2,
199791,21385,200,gram,2,
202769,21699,200,gram,2,
202773,21699,200,gram,2,
203691,21802,200,gram,2,
203696,21802,200,gram,2,
203699,21802,200,gram,2,
203700,21802,200,gram,2,
203701,21802,200,gram,2,
